#e_p,R_H,f_stab
0.000,0.250,1.00000
0.000,0.260,1.00000
0.000,0.270,1.00000
0.000,0.280,0.95000
0.000,0.290,1.00000
0.000,0.300,1.00000
0.000,0.310,1.00000
0.000,0.320,1.00000
0.000,0.330,1.00000
0.000,0.340,0.55000
0.000,0.350,0.45000
0.000,0.360,0.05000
0.000,0.370,-0.05000
0.000,0.380,0.05000
0.000,0.390,-0.05263
0.000,0.400,-0.05000
0.000,0.410,-0.05000
0.000,0.420,-0.05000
0.000,0.430,-0.05000
0.000,0.440,-0.05000
0.000,0.450,-0.05000
0.000,0.460,-0.05000
0.000,0.470,-0.05000
0.000,0.480,-0.05000
0.000,0.490,-0.05000
0.000,0.500,-0.04762
0.000,0.510,-0.05000
0.000,0.520,-0.05000
0.000,0.530,-0.05000
0.000,0.540,-0.05000
0.000,0.550,-0.05000
0.010,0.250,1.00000
0.010,0.260,1.00000
0.010,0.270,1.00000
0.010,0.280,0.60000
0.010,0.290,1.00000
0.010,0.300,1.00000
0.010,0.310,1.00000
0.010,0.320,1.00000
0.010,0.330,1.00000
0.010,0.340,0.50000
0.010,0.350,0.25000
0.010,0.360,0.05000
0.010,0.370,-0.05000
0.010,0.380,0.05000
0.010,0.390,-0.05000
0.010,0.400,-0.05000
0.010,0.410,-0.05000
0.010,0.420,-0.05000
0.010,0.430,-0.05000
0.010,0.440,-0.05000
0.010,0.450,-0.05000
0.010,0.460,-0.05000
0.010,0.470,-0.05000
0.010,0.480,-0.05000
0.010,0.490,-0.05000
0.010,0.500,-0.05000
0.010,0.510,-0.05000
0.010,0.520,-0.05000
0.010,0.530,-0.05000
0.010,0.540,-0.05000
0.010,0.550,-0.05000
0.020,0.250,1.00000
0.020,0.260,1.00000
0.020,0.270,1.00000
0.020,0.280,0.66667
0.020,0.290,0.90000
0.020,0.300,1.00000
0.020,0.310,1.00000
0.020,0.320,1.00000
0.020,0.330,0.95238
0.020,0.340,0.42857
0.020,0.350,0.52381
0.020,0.360,-0.05000
0.020,0.370,-0.05000
0.020,0.380,-0.05000
0.020,0.390,-0.05000
0.020,0.400,-0.05000
0.020,0.410,-0.05000
0.020,0.420,-0.05000
0.020,0.430,-0.05000
0.020,0.440,-0.05000
0.020,0.450,-0.05000
0.020,0.460,-0.05000
0.020,0.470,-0.05000
0.020,0.480,-0.05000
0.020,0.490,-0.05000
0.020,0.500,-0.05000
0.020,0.510,-0.05000
0.020,0.520,-0.05000
0.020,0.530,-0.05000
0.020,0.540,-0.05000
0.020,0.550,-0.05000
0.030,0.250,1.00000
0.030,0.260,1.00000
0.030,0.270,1.00000
0.030,0.280,0.45000
0.030,0.290,0.90000
0.030,0.300,1.00000
0.030,0.310,1.00000
0.030,0.320,1.00000
0.030,0.330,1.00000
0.030,0.340,0.35000
0.030,0.350,0.35000
0.030,0.360,0.10000
0.030,0.370,-0.05000
0.030,0.380,-0.05000
0.030,0.390,-0.05000
0.030,0.400,-0.05000
0.030,0.410,-0.05000
0.030,0.420,-0.05000
0.030,0.430,-0.05000
0.030,0.440,-0.05000
0.030,0.450,-0.05000
0.030,0.460,-0.05000
0.030,0.470,-0.05000
0.030,0.480,-0.05000
0.030,0.490,-0.05000
0.030,0.500,-0.04762
0.030,0.510,-0.05000
0.030,0.520,-0.05000
0.030,0.530,-0.05000
0.030,0.540,-0.05000
0.030,0.550,-0.05000
0.040,0.250,1.00000
0.040,0.260,1.00000
0.040,0.270,1.00000
0.040,0.280,0.35000
0.040,0.290,0.95000
0.040,0.300,1.00000
0.040,0.310,1.00000
0.040,0.320,1.00000
0.040,0.330,1.00000
0.040,0.340,0.33333
0.040,0.350,0.55000
0.040,0.360,0.20000
0.040,0.370,-0.05000
0.040,0.380,-0.04762
0.040,0.390,-0.05000
0.040,0.400,-0.05000
0.040,0.410,-0.05000
0.040,0.420,-0.05000
0.040,0.430,-0.05000
0.040,0.440,-0.05000
0.040,0.450,-0.05000
0.040,0.460,-0.05000
0.040,0.470,-0.05000
0.040,0.480,-0.05000
0.040,0.490,-0.05000
0.040,0.500,-0.05000
0.040,0.510,-0.05000
0.040,0.520,-0.05000
0.040,0.530,-0.05000
0.040,0.540,-0.05000
0.040,0.550,-0.05000
0.050,0.250,1.00000
0.050,0.260,1.00000
0.050,0.270,1.00000
0.050,0.280,0.30000
0.050,0.290,0.70000
0.050,0.300,1.00000
0.050,0.310,1.00000
0.050,0.320,1.00000
0.050,0.330,0.90000
0.050,0.340,0.55000
0.050,0.350,0.55000
0.050,0.360,-0.05000
0.050,0.370,-0.05000
0.050,0.380,-0.05000
0.050,0.390,-0.05000
0.050,0.400,-0.05000
0.050,0.410,-0.05000
0.050,0.420,-0.05000
0.050,0.430,-0.05000
0.050,0.440,-0.05000
0.050,0.450,-0.05000
0.050,0.460,-0.05000
0.050,0.470,-0.05000
0.050,0.480,-0.05000
0.050,0.490,-0.05000
0.050,0.500,-0.05000
0.050,0.510,-0.05000
0.050,0.520,-0.05000
0.050,0.530,-0.04762
0.050,0.540,-0.05000
0.050,0.550,-0.05000
0.060,0.250,1.00000
0.060,0.260,1.00000
0.060,0.270,1.00000
0.060,0.280,0.45000
0.060,0.290,0.90000
0.060,0.300,1.00000
0.060,0.310,1.00000
0.060,0.320,1.00000
0.060,0.330,0.95238
0.060,0.340,0.20000
0.060,0.350,0.30000
0.060,0.360,0.05000
0.060,0.370,-0.05000
0.060,0.380,-0.05000
0.060,0.390,-0.05000
0.060,0.400,-0.05000
0.060,0.410,-0.04762
0.060,0.420,-0.05000
0.060,0.430,-0.05000
0.060,0.440,-0.05000
0.060,0.450,-0.05000
0.060,0.460,-0.05000
0.060,0.470,-0.05000
0.060,0.480,-0.05000
0.060,0.490,-0.05000
0.060,0.500,-0.05000
0.060,0.510,-0.05000
0.060,0.520,-0.05000
0.060,0.530,-0.05000
0.060,0.540,-0.05000
0.060,0.550,-0.05000
0.070,0.250,1.00000
0.070,0.260,1.00000
0.070,0.270,1.00000
0.070,0.280,0.19048
0.070,0.290,0.65000
0.070,0.300,1.00000
0.070,0.310,1.00000
0.070,0.320,1.00000
0.070,0.330,0.85000
0.070,0.340,0.40000
0.070,0.350,0.38095
0.070,0.360,0.05000
0.070,0.370,-0.05000
0.070,0.380,-0.05000
0.070,0.390,-0.05000
0.070,0.400,-0.05000
0.070,0.410,-0.05000
0.070,0.420,-0.05000
0.070,0.430,-0.05000
0.070,0.440,-0.05000
0.070,0.450,-0.05000
0.070,0.460,-0.05000
0.070,0.470,-0.05000
0.070,0.480,-0.05000
0.070,0.490,-0.05000
0.070,0.500,-0.05000
0.070,0.510,-0.05000
